date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd
2018-12-13,,,4044065,,,
2018-12-28,,,4054388,,,
2018-12-05,,,4046558,,,
2018-11-19,,,4029108,,,
2018-11-27,,,4048270,,,
2018-10-29,,,4010863,,,
2018-10-23,,,4006096,,,
2018-11-09,,,4018117,,,
2018-10-04,,,3994521,,,
2018-10-13,,,3999196,,,
2018-10-13,,,4000104,,,
2018-10-06,,,3996671,,,
2018-09-08,,,3976881,,,
2018-09-20,,,3985245,,,
2018-09-19,,,3984287,,,
2018-09-08,,,3978156,,,
2018-09-21,,,3986243,,,
2018-08-12,,,3960406,,,
2018-08-05,,,3965787,,,
2018-08-16,,,3962956,,,
2014-10-10,,,2914755,,,
2014-10-05,,,1034116,,,
2014-09-28,,,1031062,,,
2014-10-18,,,2928196,,,
2014-09-27,,,1031414,,,
2014-10-21,,,2812866,,,
2014-09-30,,,1032598,,,
2014-09-27,,,1029844,,,
2014-09-29,,,1032074,,,
2014-09-10,,,1021656,,,
2014-09-10,,,1022173,,,
2014-09-15,,,2968593,,,
2014-08-31,,,3024220,,,
2014-09-23,,,1031501,,,
2014-09-11,,,1023089,,,
2014-09-09,,,1021628,,,
2014-09-05,,,1019393,,,
2014-09-09,,,1021607,,,
2014-09-19,,,1027300,,,
2014-09-19,,,1026809,,,
2014-08-28,,,1015493,,,
2014-08-12,,,1007795,,,
2014-08-28,,,1014983,,,
2014-08-09,,,1006440,,,
2014-08-24,,,1013739,,,
2014-08-20,,,1011986,,,
2014-08-09,,,2984239,,,
2014-08-27,,,1015346,,,
2014-08-23,,,2914618,,,
2014-08-05,,,1004208,,,
2014-08-17,,,1012605,,,
2014-07-11,,,364026,,,
2014-06-23,,,356317,,,
2014-05-20,,,338395,,,
2014-07-23,,,997690,,,
2014-07-14,,,875259,,,
2014-07-05,,,930706,,,
2014-07-22,,,997341,,,
2014-07-27,,,1000053,,,
2014-07-19,,,996014,,,
2014-07-15,,,554624,,,
2014-07-15,,,987882,,,
2014-07-25,,,998411,,,
2014-07-26,,,999795,,,
2014-06-13,,,351382,,,
2014-06-27,,,3046626,,,
2014-06-07,,,348372,,,
2014-06-16,,,352357,,,
2014-06-04,,,2927983,,,
2014-06-06,,,2934821,,,
2014-06-20,,,354961,,,
2014-06-07,,,347954,,,
2014-06-16,,,352296,,,
2014-06-25,,,357748,,,
2014-06-27,,,358792,,,
2014-06-05,,,346927,,,
2014-06-11,,,350777,,,
2014-06-03,,,346598,,,
2014-05-16,,,336259,,,
2014-05-30,,,344054,,,
2014-05-31,,,344875,,,
2014-05-20,,,338649,,,
2014-05-15,,,336137,,,
2014-05-19,,,337952,,,
2014-05-27,,,341914,,,
2014-05-31,,,345457,,,
2014-05-27,,,2934805,,,
2014-05-24,,,340856,,,
2014-05-08,,,331920,,,
2014-05-11,,,334310,,,
2014-05-13,,,334464,,,
2014-05-16,,,337478,,,
2014-06-01,,,2834264,,,
2014-05-08,,,2914231,,,
2014-05-24,,,340582,,,
2014-05-08,,,332586,,,
2014-02-28,,,2927821,,,
2014-04-28,,,326695,,,
2014-04-18,,,322032,,,
2014-04-17,,,322177,,,
2014-04-25,,,325983,,,
2014-04-13,,,319700,,,
2014-04-20,,,323500,,,
2014-04-11,,,319422,,,
2014-04-21,,,323192,,,
2014-04-28,,,2841075,,,
2014-03-12,,,306542,,,
2014-03-11,,,306663,,,
2018-07-26,,,3948901,,,
2018-07-18,,,3944053,,,
2018-07-10,,,3938856,,,
2018-07-26,,,3949648,,,
2018-07-18,,,3943882,,,
2018-06-30,,,3932340,,,
2018-06-26,,,3931600,,,
2018-06-27,,,3929954,,,
2018-06-28,,,3930596,,,
2018-06-21,,,3927474,,,
2018-06-26,,,3930103,,,
2018-06-02,,,3914257,,,
2018-05-26,,,3909064,,,
2018-06-01,,,3912541,,,
2018-05-28,,,3909773,,,
2018-03-14,,,4025736,,,
2018-05-02,,,3894611,,,
2018-04-14,,,3881641,,,
2018-03-29,,,3872627,,,
2018-04-19,,,3885857,,,
2018-04-11,,,3878765,,,
2018-03-28,,,3870944,,,
2018-03-31,,,3872770,,,
2018-03-12,,,3861460,,,
2018-03-02,,,4025724,,,
2017-12-14,,,3808945,,,
2018-02-22,,,3851496,,,
2018-02-07,,,3842854,,,
2018-02-14,,,3846106,,,
2018-02-14,,,3847460,,,
2018-02-15,,,3847188,,,
2014-03-17,,,3046363,,,
2014-03-19,,,308403,,,
2014-04-02,,,314109,,,
2014-03-11,,,306912,,,
2014-03-28,,,312369,,,
2014-03-21,,,2889498,,,
2014-03-19,,,308552,,,
2014-03-19,,,308201,,,
2014-03-22,,,309515,,,
2014-03-10,,,254984,,,
2014-03-28,,,312024,,,
2014-03-06,,,37573,,,
2014-02-22,,,85051,,,
2014-02-28,,,92044,,,
2014-02-14,,,292917,,,
2014-02-10,,,292858,,,
2014-02-12,,,292895,,,
2014-02-28,,,245414,,,
2014-02-13,,,290531,,,
2014-02-06,,,290449,,,
2014-02-06,,,88353,,,
2014-03-01,,,279303,,,
2014-02-14,,,267934,,,
2014-02-02,,,227417,,,
2014-02-04,,,184407,,,
2014-02-01,,,2913978,,,
2014-02-02,,,3046264,,,
2014-02-01,,,2913977,,,
2014-02-01,,,272217,,,
2014-01-02,,,2992846,,,
2013-11-14,,,2913791,,,
2014-01-28,,,300852,,,
2014-01-11,,,44289,,,
2014-01-09,,,244801,,,
2014-01-13,,,106491,,,
2014-01-23,,,278858,,,
2014-01-29,,,300856,,,
2014-01-12,,,232643,,,
2014-01-25,,,284245,,,
2014-01-29,,,125398,,,
2014-01-26,,,238194,,,
2014-01-11,,,140286,,,
2014-01-21,,,102473,,,
2014-01-21,,,3123109,,,
2014-01-30,,,147259,,,
2014-01-10,,,267694,,,
2014-01-30,,,267834,,,
2014-01-28,,,267820,,,
2014-01-21,,,292668,,,
2013-12-16,,,115898,,,
2013-12-16,,,3056853,,,
2013-12-08,,,120614,,,
2013-12-11,,,94414,,,
2013-12-20,,,200683,,,
2013-12-20,,,2897712,,,
2013-11-12,,,178720,,,
2013-12-03,,,88033,,,
2013-11-17,,,283677,,,
2013-11-18,,,253129,,,
2013-11-18,,,2919258,,,
2013-11-08,,,244095,,,
2013-12-02,,,109069,,,
2013-11-25,,,112780,,,
2013-11-13,,,207708,,,
2013-11-17,,,133983,,,
2013-11-25,,,146979,,,
2013-11-13,,,303574,,,
2013-11-28,,,169503,,,
2013-11-14,,,98912,,,
2013-11-30,,,2934583,,,
2013-11-16,,,253100,,,
2013-11-27,,,169501,,,
2013-11-20,,,289809,,,
2013-11-28,,,63367,,,
2013-12-02,,,147023,,,
2013-11-26,,,202019,,,
2013-11-08,,,84264,,,
2013-10-29,,,200440,,,
2013-10-15,,,94185,,,
2013-10-21,,,225864,,,
2013-11-01,,,143821,,,
2013-10-17,,,94171,,,
2013-10-21,,,291739,,,
2013-10-11,,,2897613,,,
2013-10-26,,,172156,,,
2013-10-16,,,84110,,,
2013-10-25,,,197107,,,
2013-10-31,,,2889310,,,
2013-10-04,,,252431,,,
2013-09-27,,,271217,,,
2013-09-19,,,146674,,,
2013-09-24,,,2864932,,,
2013-09-17,,,2921966,,,
2013-09-11,,,266804,,,
2013-09-11,,,262674,,,
2013-09-12,,,178355,,,
2013-09-25,,,207248,,,
2013-09-27,,,252326,,,
2013-09-19,,,59066,,,
2018-01-22,,,3833708,,,
2017-12-24,,,3815426,,,
2017-12-08,,,3806104,,,
2017-11-13,,,3789920,,,
2017-11-09,,,3786853,,,
2017-11-29,,,3800828,,,
2017-11-28,,,3798779,,,
2017-11-27,,,3798896,,,
2017-11-04,,,3785507,,,
2017-11-06,,,3784554,,,
2017-11-06,,,3784748,,,
2017-09-21,,,3754806,,,
2017-10-10,,,3766513,,,
2017-10-03,,,3762741,,,
2017-09-29,,,3760156,,,
2017-07-12,,,3710558,,,
2017-08-25,,,3738392,,,
2017-08-31,,,3754487,,,
2017-09-10,,,3747450,,,
2017-09-18,,,3752665,,,
2017-09-03,,,3742178,,,
2017-09-18,,,3752946,,,
2017-08-29,,,3739740,,,
2017-07-31,,,3722277,,,
2017-08-23,,,3750322,,,
2017-08-10,,,3728229,,,
2017-08-11,,,3729246,,,
2017-08-03,,,3725429,,,
2013-09-25,,,291525,,,
2013-08-23,,,124321,,,
2013-08-14,,,61294,,,
2013-08-19,,,158690,,,
2013-09-09,,,266784,,,
2013-08-27,,,277228,,,
2013-09-07,,,143476,,,
2013-08-18,,,2927578,,,
2013-08-21,,,243210,,,
2013-08-24,,,196675,,,
2013-08-31,,,83772,,,
2013-08-06,,,291070,,,
2013-07-28,,,2957707,,,
2013-07-22,,,290949,,,
2013-07-16,,,83463,,,
2013-08-05,,,2879540,,,
2013-07-10,,,55465,,,
2013-07-22,,,251400,,,
2013-07-31,,,266568,,,
2013-08-05,,,2889159,,,
2013-07-16,,,290918,,,
2013-07-31,,,2919130,,,
2013-07-29,,,2957708,,,
2013-07-27,,,3045696,,,
2013-08-01,,,69359,,,
2013-07-13,,,2873276,,,
2013-07-10,,,211252,,,
2013-07-03,,,216869,,,
2013-06-17,,,298557,,,
2013-06-28,,,2864747,,,
2013-06-20,,,3125203,,,
2013-06-25,,,216802,,,
2013-07-04,,,115172,,,
2013-06-17,,,216725,,,
2013-06-21,,,250904,,,
2013-07-02,,,2913311,,,
2013-06-30,,,128140,,,
2013-05-24,,,250454,,,
2013-05-26,,,2879440,,,
2013-05-22,,,79714,,,
2013-05-14,,,2897304,,,
2013-03-27,,,210503,,,
2013-03-16,,,2976094,,,
2013-04-29,,,250093,,,
2013-05-12,,,235731,,,
2013-05-07,,,223523,,,
2013-04-24,,,2965243,,,
2013-04-21,,,153927,,,
2013-05-01,,,101241,,,
2013-04-30,,,15204,,,
2013-05-02,,,90280,,,
2013-05-08,,,250205,,,
2013-05-05,,,104835,,,
2013-05-04,,,302642,,,
2013-04-15,,,74240,,,
2013-04-13,,,230270,,,
2013-04-02,,,275551,,,
2013-04-03,,,281741,,,
2013-04-15,,,90182,,,
2013-04-01,,,241687,,,
2013-04-04,,,2927362,,,
2013-03-23,,,261342,,,
2013-04-07,,,2848811,,,
2013-04-15,,,177399,,,
2013-04-15,,,261490,,,
2013-04-01,,,3023639,,,
2013-03-23,,,82601,,,
2013-04-11,,,205917,,,
2013-02-28,,,2983351,,,
2013-02-25,,,157473,,,
2013-02-20,,,2912896,,,
2013-02-28,,,3017315,,,
2013-03-09,,,68894,,,
2013-02-26,,,265596,,,
2013-03-01,,,3023604,,,
2013-03-04,,,100979,,,
2017-07-26,,,3721390,,,
2017-07-22,,,3716236,,,
2017-07-08,,,3706975,,,
2017-06-11,,,3689061,,,
2017-05-31,,,3685394,,,
2017-06-08,,,3687337,,,
2017-06-09,,,3689263,,,
2017-06-06,,,3685004,,,
2017-05-18,,,3672567,,,
2017-05-19,,,3675789,,,
2017-05-13,,,3669690,,,
2017-05-06,,,3664095,,,
2017-05-04,,,3663693,,,
2017-05-01,,,3661290,,,
2017-04-06,,,3648424,,,
2017-03-31,,,3642238,,,
2017-03-17,,,3639348,,,
2017-02-09,,,3618203,,,
2017-01-30,,,3608070,,,
2017-02-09,,,3613040,,,
2017-02-07,,,3611720,,,
2017-01-25,,,3607918,,,
2017-01-13,,,3598540,,,
2017-01-21,,,3601810,,,
2016-12-26,,,3587385,,,
2017-01-08,,,3594817,,,
2017-01-01,,,3590059,,,
2017-01-03,,,3591756,,,
2017-01-10,,,3596035,,,
2016-12-12,,,3578691,,,
2016-12-05,,,3573609,,,
2016-11-26,,,3567565,,,
2016-11-17,,,3564556,,,
2016-11-30,,,3570581,,,
2016-11-05,,,3558494,,,
2016-10-20,,,3544523,,,
2013-03-03,,,127368,,,
2013-03-14,,,261269,,,
2013-03-03,,,215557,,,
2013-03-07,,,2864494,,,
2013-02-11,,,248974,,,
2013-02-13,,,73847,,,
2013-02-14,,,114533,,,
2012-12-15,,,3096970,,,
2013-02-06,,,107801,,,
2013-02-08,,,296523,,,
2013-01-23,,,157236,,,
2013-01-19,,,86275,,,
2013-01-12,,,226380,,,
2013-02-04,,,222327,,,
2013-01-29,,,260962,,,
2013-01-25,,,281209,,,
2013-02-06,,,296601,,,
2013-01-29,,,157269,,,
2013-01-02,,,79254,,,
2012-12-23,,,2848624,,,
2013-01-06,,,248430,,,
2012-12-27,,,2918876,,,
2012-12-23,,,234588,,,
2012-12-16,,,96238,,,
2012-12-27,,,248293,,,
2012-12-23,,,3017165,,,
2012-12-01,,,2897024,,,
2012-11-16,,,209606,,,
2012-12-04,,,3017114,,,
2012-11-30,,,2965082,,,
2012-11-27,,,198862,,,
2012-11-17,,,269002,,,
2012-11-15,,,192123,,,
2012-12-03,,,117559,,,
2012-11-30,,,240352,,,
2012-12-07,,,86060,,,
2012-12-04,,,256119,,,
2012-11-27,,,265023,,,
2012-11-14,,,2918818,,,
2012-11-09,,,148431,,,
2012-11-11,,,2872982,,,
2012-11-11,,,229026,,,
2012-11-08,,,2879168,,,
2012-08-23,,,2912304,,,
2012-08-16,,,2983113,,,
2012-08-13,,,2888550,,,
2012-10-24,,,221010,,,
2012-11-04,,,117281,,,
2012-11-07,,,214451,,,
2012-10-13,,,260181,,,
2012-10-18,,,81568,,,
2012-11-07,,,76699,,,
2012-10-26,,,2836726,,,
2012-11-08,,,3079132,,,
2012-11-06,,,260380,,,
2012-11-08,,,117325,,,
2012-10-16,,,220878,,,
2012-10-09,,,233963,,,
2012-10-19,,,89182,,,
2012-10-22,,,2997625,,,
2012-10-25,,,70556,,,
2012-10-10,,,2912465,,,
2012-09-26,,,9805,,,
2012-09-19,,,107217,,,
2012-09-18,,,156357,,,
2012-09-13,,,9743,,,
2012-09-20,,,301631,,,
2012-10-03,,,247040,,,
2012-09-26,,,246946,,,
2012-10-01,,,2864227,,,
2012-09-11,,,103205,,,
2012-09-06,,,2918734,,,
2012-08-27,,,259797,,,
2012-09-01,,,233606,,,
2012-09-02,,,233617,,,
2012-08-17,,,2888555,,,
2012-08-26,,,268439,,,
2012-08-24,,,103074,,,
2012-09-05,,,156274,,,
2012-08-09,,,255293,,,
2012-07-20,,,3044707,,,
2012-07-17,,,2833700,,,
2012-07-07,,,32104,,,
2012-07-24,,,238871,,,
2012-08-05,,,191699,,,
2012-08-05,,,184674,,,
2012-07-24,,,284889,,,
2012-07-11,,,106932,,,
2012-07-15,,,125770,,,
2012-07-20,,,85290,,,
2012-08-04,,,68267,,,
2012-07-27,,,2896788,,,
2012-07-30,,,208927,,,
2012-07-07,,,2912114,,,
2012-07-02,,,88549,,,
2012-07-07,,,94945,,,
2022-09-12,,,4563400,,,
2022-10-01,,,4568962,,,
2022-10-08,,,4572454,,,
2022-10-16,,,4573258,,,
2022-10-30,,,4577167,,,
2022-11-05,,,4580177,,,
2021-09-08,,,4457947,,,
2021-04-25,,,4411589,,,
2021-05-08,,,4414875,,,
2021-09-30,,,4462924,,,
2021-06-03,,,4423423,,,
2021-06-14,,,4426714,,,
2022-01-05,,,4492251,,,
2022-01-05,,,4493941,,,
2021-07-01,,,4435720,,,
2021-07-08,,,4436126,,,
2022-07-05,,,4544084,,,
2022-01-20,,,4496031,,,
2022-04-11,,,4518200,,,
2021-07-22,,,4442413,,,
2022-01-24,,,4497024,,,
2022-01-24,,,4497038,,,
2022-07-06,,,4544180,,,
2021-08-14,,,4447779,,,
2021-08-19,,,4448995,,,
2022-01-27,,,4499034,,,
2021-09-04,,,4454316,,,
2022-06-30,,,4544719,,,
2021-09-09,,,4455329,,,
2021-09-10,,,4455746,,,
2021-11-19,,,4479778,,,
2022-04-22,,,4521034,,,
2021-11-27,,,4482039,,,
2021-12-01,,,4483202,,,
